"All Fuel Types
All Sectors
Millions of metric tons (Mt) CO2 ",,,,,Extracting Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producing Regions,Imports of Extraction Emissions,Exports of Extraction Emissions,Total Production,Net Trade of Extraction Emissions,Australia,New Zealand,Rest of Oceania,China,Hong Kong,Japan,Korea,Taiwan,Rest of East Asia,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Philippines,Singapore,Thailand,Vietnam,Rest of Southeast Asia,Bangladesh,India,Pakistan,Sri Lanka,Rest of South Asia,Canada,United States of America,Mexico,Rest of North America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela,Rest of South America,Costa Rica,Guatemala,Nicaragua,Panama,Rest of Central America,Caribbean,Austria,Belgium,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Switzerland,Norway,Rest of EFTA,Albania,Bulgaria,Belarus,Croatia,Romania,Russian Federation,Ukraine,Rest of Eastern Europe,Rest of Europe,Kazakhstan,Kyrgyzstan,Rest of Former Soviet Union,Armenia,Azerbaijan,Georgia,"Iran, Islamic Republic of",Turkey,Rest of Western Asia,Egypt,Morocco,Tunisia,Rest of North Africa,Nigeria,Senegal,Rest of Western Africa,Rest of Central Africa,Rest of South Central Africa,Ethiopia,Madagascar,Malawi,Mauritius,Mozambique,Tanzania,Uganda,Zambia,Zimbabwe,Rest of Eastern Africa,Botswana,South Africa,Rest of South African Customs Union 
Australia,69.00,565.72,377.37,-496.72,308.37,0.29,5.92,1.56,0.00,0.00,0.01,0.01,0.01,0.00,6.49,0.00,7.94,0.00,0.04,0.11,12.31,4.34,0.00,0.01,0.02,0.00,0.01,0.29,1.86,0.50,0.00,0.02,0.00,0.05,0.00,0.07,0.09,0.00,0.00,0.00,0.48,0.00,0.00,0.01,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.02,0.00,0.00,0.07,0.00,0.01,0.00,0.04,0.00,1.39,0.00,21.83,0.25,0.00,0.01,0.48,0.58,0.00,0.03,0.25,0.25,0.00,0.04,0.02,0.05,0.00,0.00,0.07,0.00,0.00,0.05,0.00,0.04,0.03
New Zealand,22.08,4.67,37.05,17.41,4.47,14.98,0.55,0.22,0.00,0.00,0.01,0.01,0.00,0.00,1.16,0.00,0.80,0.00,0.01,0.04,0.38,2.32,0.00,0.00,0.00,0.00,0.00,0.07,0.41,0.11,0.00,0.01,0.00,0.01,0.00,0.02,0.03,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.75,0.00,9.23,0.01,0.00,0.00,0.04,0.57,0.00,0.01,0.14,0.11,0.00,0.02,0.01,0.02,0.00,0.00,0.03,0.00,0.00,0.01,0.00,0.01,0.01
Rest of Oceania,10.12,10.80,19.76,-0.68,1.50,0.02,9.64,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.28,0.00,0.03,0.00,0.79,0.06,0.00,0.00,0.00,0.00,0.00,0.13,0.09,0.04,0.00,0.01,0.00,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.58,0.00,5.33,0.02,0.00,0.00,0.07,0.04,0.00,0.00,0.03,0.02,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01
China,449.57,268.78,4651.47,180.79,22.45,0.35,0.49,4201.90,0.00,0.03,0.25,0.03,1.52,0.04,17.80,0.00,9.77,0.01,0.05,1.04,28.60,2.74,0.00,0.07,0.00,0.00,0.06,4.40,2.86,0.90,0.02,1.61,0.00,3.70,0.00,0.63,1.44,0.00,0.00,0.00,4.40,0.00,0.00,0.01,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.02,0.13,0.00,0.00,0.01,0.06,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.01,0.00,0.78,0.00,6.97,0.02,0.00,0.00,0.03,0.01,0.00,48.03,0.06,0.00,0.01,4.27,0.00,0.84,0.00,0.46,0.03,43.47,0.01,156.70,0.13,0.00,0.02,4.94,4.19,0.00,0.65,9.61,46.05,0.00,0.34,0.14,0.47,0.00,0.00,0.58,0.00,0.00,14.55,0.00,0.15,0.28
Hong Kong,55.24,0.00,57.78,55.23,4.42,0.01,0.04,3.25,2.55,0.00,0.05,0.01,0.05,0.01,19.45,0.00,1.47,0.00,0.03,0.06,0.81,0.11,0.00,0.07,0.00,0.00,0.00,0.43,1.16,0.19,0.00,0.11,0.01,0.06,0.00,0.04,0.14,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.22,0.01,0.00,0.00,0.01,0.00,0.00,2.10,0.10,0.00,0.00,0.18,0.00,0.07,0.00,0.02,0.00,1.71,0.00,16.19,0.35,0.00,0.05,0.15,0.28,0.00,0.04,0.25,0.26,0.00,0.02,0.01,0.02,0.00,0.00,0.03,0.00,0.00,0.07,0.00,0.04,0.01
Japan,1239.81,0.09,1254.09,1239.72,229.66,2.74,0.28,85.04,0.00,14.28,0.18,0.00,0.20,0.09,112.94,0.00,39.27,0.00,0.00,0.25,9.02,19.20,0.00,0.43,0.04,0.00,0.08,8.30,23.23,1.84,0.03,0.26,0.03,0.26,0.00,0.38,0.81,0.00,0.00,0.00,1.02,0.00,0.00,0.01,0.00,0.00,0.01,0.84,0.00,0.00,0.00,0.02,0.08,0.00,0.00,0.00,0.03,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.07,0.00,0.00,0.00,0.00,0.00,0.41,0.00,1.07,0.04,0.00,0.00,0.04,0.01,0.00,24.48,0.10,0.00,0.01,0.92,0.00,0.51,0.00,0.28,0.00,91.76,0.00,547.39,0.36,0.00,0.06,1.71,13.93,0.00,1.12,1.00,1.22,0.00,0.46,0.19,0.64,0.00,0.00,0.79,0.00,0.00,13.98,0.00,0.22,0.38
Korea,466.98,0.67,475.02,466.31,70.78,0.01,0.04,52.98,0.00,0.01,8.04,0.00,0.01,0.05,49.62,0.00,15.04,0.00,0.00,0.09,1.23,3.79,0.00,0.72,0.07,0.00,0.03,5.75,3.09,0.27,0.01,0.29,0.01,0.75,0.00,0.08,3.79,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.14,0.00,2.53,0.02,0.00,0.00,0.01,0.00,0.00,11.48,0.09,0.00,0.00,0.32,0.00,0.14,0.00,0.11,0.00,16.77,0.00,210.49,1.10,0.00,0.01,1.23,4.91,0.00,0.86,2.27,3.05,0.00,0.18,0.08,0.26,0.00,0.00,0.32,0.00,0.00,1.27,0.00,0.09,0.16
Taiwan,295.53,0.16,298.77,295.37,37.20,0.00,0.02,36.89,0.00,0.00,0.01,3.24,0.06,0.02,62.69,0.00,8.75,0.00,0.00,0.01,0.59,0.03,0.00,0.27,0.02,0.00,0.01,1.42,3.06,0.12,0.01,0.02,0.00,0.03,0.00,0.06,0.03,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.01,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.24,0.01,0.00,0.00,0.01,0.00,0.00,3.56,0.01,0.00,0.00,0.15,0.00,0.05,0.00,0.04,0.00,48.23,0.00,70.76,0.01,0.00,0.00,0.12,1.92,0.00,0.01,8.74,5.39,0.00,0.07,0.03,0.11,0.00,0.00,0.13,0.00,0.00,0.03,0.00,3.39,0.06
